id,Month Year,ONI,Mark,Year,Month,moving,Extreme ElNino,Extreme LaNina
0,1/1/79,0,neutral,1979,January,DJF,,
1,2/1/79,0.1,neutral,1979,February,JFM,,
2,3/1/79,0.2,neutral,1979,March,FMA,,
3,4/1/79,0.3,neutral,1979,April,MAM,,
4,5/1/79,0.2,neutral,1979,May,AMJ,,
5,6/1/79,0,neutral,1979,June,MJJ,,
6,7/1/79,0,neutral,1979,July,JJA,,
7,8/1/79,0.2,neutral,1979,August,JAS,,
8,9/1/79,0.3,neutral,1979,September,ASO,,
9,10/1/79,0.5,neutral,1979,October,SON,,
10,11/1/79,0.5,neutral,1979,November,OND,,
11,12/1/79,0.6,neutral,1979,December,NDJ,,
12,1/1/80,0.6,neutral,1980,January,DJF,,
13,2/1/80,0.5,elnino,1980,February,JFM,,
14,3/1/80,0.3,neutral,1980,March,FMA,,
15,4/1/80,0.4,neutral,1980,April,MAM,,
16,5/1/80,0.5,neutral,1980,May,AMJ,,
17,6/1/80,0.5,neutral,1980,June,MJJ,,
18,7/1/80,0.3,neutral,1980,July,JJA,,
19,8/1/80,0,neutral,1980,August,JAS,,
20,9/1/80,-0.1,neutral,1980,September,ASO,,
21,10/1/80,0,neutral,1980,October,SON,,
22,11/1/80,0.1,neutral,1980,November,OND,,
23,12/1/80,0,neutral,1980,December,NDJ,,
24,1/1/81,-0.3,neutral,1981,January,DJF,,
25,2/1/81,-0.5,neutral,1981,February,JFM,,
26,3/1/81,-0.5,neutral,1981,March,FMA,,
27,4/1/81,-0.4,neutral,1981,April,MAM,,
28,5/1/81,-0.3,neutral,1981,May,AMJ,,
29,6/1/81,-0.3,neutral,1981,June,MJJ,,
30,7/1/81,-0.3,neutral,1981,July,JJA,,
31,8/1/81,-0.2,neutral,1981,August,JAS,,
32,9/1/81,-0.2,neutral,1981,September,ASO,,
33,10/1/81,-0.1,neutral,1981,October,SON,,
34,11/1/81,-0.2,neutral,1981,November,OND,,
35,12/1/81,-0.1,neutral,1981,December,NDJ,,
36,1/1/82,0,neutral,1982,January,DJF,,
37,2/1/82,0.1,neutral,1982,February,JFM,,
38,3/1/82,0.2,neutral,1982,March,FMA,,
39,4/1/82,0.5,neutral,1982,April,MAM,,
40,5/1/82,0.7,neutral,1982,May,AMJ,,
41,6/1/82,0.7,neutral,1982,June,MJJ,,
42,7/1/82,0.8,neutral,1982,July,JJA,,
43,8/1/82,1.1,extreme_elnino,1982,August,JAS,1.1,
44,9/1/82,1.6,extreme_elnino,1982,September,ASO,1.6,
45,10/1/82,2,extreme_elnino,1982,October,SON,2,
46,11/1/82,2.2,extreme_elnino,1982,November,OND,2.2,
47,12/1/82,2.2,extreme_elnino,1982,December,NDJ,2.2,
48,1/1/83,2.2,extreme_elnino,1983,January,DJF,2.2,
49,2/1/83,1.9,extreme_elnino,1983,February,JFM,1.9,
50,3/1/83,1.5,extreme_elnino,1983,March,FMA,1.5,
51,4/1/83,1.3,extreme_elnino,1983,April,MAM,1.3,
52,5/1/83,1.1,extreme_elnino,1983,May,AMJ,1.1,
53,6/1/83,0.7,extreme_elnino,1983,June,MJJ,0.7,
54,7/1/83,0.3,neutral,1983,July,JJA,,
55,8/1/83,-0.1,neutral,1983,August,JAS,,
56,9/1/83,-0.5,neutral,1983,September,ASO,,
57,10/1/83,-0.8,neutral,1983,October,SON,,
58,11/1/83,-1,neutral,1983,November,OND,,
59,12/1/83,-0.9,neutral,1983,December,NDJ,,
60,1/1/84,-0.6,lanina,1984,January,DJF,,
61,2/1/84,-0.4,neutral,1984,February,JFM,,
62,3/1/84,-0.3,neutral,1984,March,FMA,,
63,4/1/84,-0.4,neutral,1984,April,MAM,,
64,5/1/84,-0.5,neutral,1984,May,AMJ,,
65,6/1/84,-0.4,neutral,1984,June,MJJ,,
